Category_1,Category_2,Category_3,Counts
中文書,語言學習,語言能力檢定測驗,8
中文書,商業理財,投資理財,7
中文書,心理勵志,人際關係,5
中文書,文學小說,華文創作,4
中文書,商業理財,職場工作術,4
中文書,親子教養,生活教養,3
中文書,童書/青少年文學,圖畫書,3
中文書,文學小說,翻譯文學,3
中文書,心理勵志,情緒/壓力,3
中文書,心理勵志,個人成長,3
中文書,飲食,食譜,3
中文書,商業理財,經濟／趨勢,3
中文書,生活風格,影視偶像,2
中文書,心理勵志,生活哲學,2
中文書,親子教養,教育現場,2
中文書,藝術設計,攝影,2
中文書,商業理財,傳記,2
中文書,生活風格,塑身美妝,2
中文書,人文史地,中國史地,2
中文書,商業理財,成功法,2
中文書,人文史地,世界史地,2
中文書,商業理財,管理與領導,2
中文書,心理勵志,勵志故事/散文,2
中文書,宗教命理,占星/血型/占卜,2
中文書,自然科普,數學,1
中文書,醫療保健,養生法,1
中文書,醫療保健,飲食保健,1
中文書,醫療保健,疾病百科,1
中文書,醫療保健,中醫,1
中文書,輕小說,華文作品,1
中文書,輕小說,日本作品,1
中文書,語言學習,韓語,1
中文書,人文史地,台灣史地,1
中文書,人文史地,哲學,1
中文書,親子教養,潛能/學習力啟發,1
中文書,心理勵志,人格天賦/潛能開發,1
中文書,心理勵志,兩性與家庭關係,1
中文書,文學小說,愛情小說,1
中文書,童書/青少年文學,兒童故事/小說,1
中文書,社會科學,社會議題,1
中文書,社會科學,政治,1
中文書,生活風格,運動/戶外活動,1
中文書,宗教命理,宗教概論,1
中文書,生活風格,居家生活,1
中文書,漫畫,動作冒險,1
中文書,旅遊,環遊世界,1
中文書,旅遊,日本,1
中文書,心理勵志,心理學,1
中文書,心理勵志,心理諮商/治療,1
中文書,文學小說,科幻/奇幻小說,1
中文書,宗教命理,命相/命理,1
