Category_1,Category_2,Category_3,Category_4,Counts
中文書,語言學習,語言能力檢定測驗,NEWTOEIC新多益,8
中文書,心理勵志,個人成長,心靈成長,3
中文書,文學小說,華文創作,散文,3
中文書,心理勵志,人際關係,人脈/處世,3
中文書,親子教養,生活教養,商品介紹,3
中文書,商業理財,投資理財,股票／證券,3
中文書,心理勵志,情緒/壓力,商品介紹,3
中文書,人文史地,世界史地,文化史,2
中文書,童書/青少年文學,圖畫書,知識繪本,2
中文書,心理勵志,人際關係,說話/溝通,2
中文書,生活風格,塑身美妝,瘦身美體,2
中文書,宗教命理,占星/血型/占卜,占星/血型,2
中文書,商業理財,職場工作術,工作哲學,2
中文書,心理勵志,生活哲學,商品介紹,2
中文書,人文史地,中國史地,朝代史,2
中文書,文學小說,翻譯文學,亞洲文學,2
中文書,商業理財,投資理財,理財規劃,2
中文書,商業理財,投資理財,投資學,2
中文書,商業理財,傳記,人物傳記,2
中文書,生活風格,影視偶像,影視寫真/導覽書,2
中文書,藝術設計,攝影,各類攝影,2
中文書,社會科學,社會議題,商品介紹,1
中文書,童書/青少年文學,兒童故事/小說,偵探/冒險,1
中文書,社會科學,政治,政治人物,1
中文書,童書/青少年文學,圖畫書,幻想/冒險,1
中文書,生活風格,運動/戶外活動,體能訓練,1
中文書,親子教養,教育現場,教師隨筆,1
中文書,自然科普,數學,趣味數學,1
中文書,親子教養,教育現場,十二年國教,1
中文書,親子教養,潛能/學習力啟發,商品介紹,1
中文書,語言學習,韓語,韓語學習,1
中文書,輕小說,日本作品,幻奇冒險,1
中文書,輕小說,華文作品,幻奇冒險,1
中文書,醫療保健,中醫,中醫養生,1
中文書,醫療保健,疾病百科,胃腸肝膽科,1
中文書,醫療保健,飲食保健,飲食療法,1
中文書,醫療保健,養生法,養生功法,1
中文書,飲食,食譜,其他/綜合,1
中文書,飲食,食譜,小家電料理,1
中文書,生活風格,居家生活,花草園藝,1
中文書,文學小說,科幻/奇幻小說,歐美科幻/奇幻小說,1
中文書,漫畫,動作冒險,冒險／探險,1
中文書,旅遊,環遊世界,商品介紹,1
中文書,人文史地,台灣史地,人物史/傳記,1
中文書,人文史地,哲學,中國哲學,1
中文書,商業理財,成功法,自我成長,1
中文書,商業理財,成功法,致富,1
中文書,商業理財,管理與領導,經營策略,1
中文書,商業理財,管理與領導,領導／帶人,1
中文書,商業理財,經濟／趨勢,經濟學,1
中文書,商業理財,經濟／趨勢,觀念／趨勢,1
中文書,商業理財,經濟／趨勢,金融,1
中文書,商業理財,職場工作術,思考邏輯／決斷／創意,1
中文書,商業理財,職場工作術,溝通說話,1
中文書,宗教命理,命相/命理,曆書,1
中文書,宗教命理,宗教概論,商品介紹,1
中文書,心理勵志,人格天賦/潛能開發,商品介紹,1
中文書,心理勵志,兩性與家庭關係,兩性關係,1
中文書,心理勵志,勵志故事/散文,勵志小品文,1
中文書,心理勵志,勵志故事/散文,真實人生故事,1
中文書,心理勵志,心理學,經典學派/大師思想,1
中文書,心理勵志,心理諮商/治療,商品介紹,1
中文書,文學小說,愛情小說,商品介紹,1
中文書,文學小說,翻譯文學,美國文學,1
中文書,文學小說,華文創作,小說,1
中文書,旅遊,日本,日本旅遊,1
中文書,飲食,食譜,新手/速簡食譜,1
